"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","grade"
"212",0,0,82.5,75,90,0,87,0,80,10,75,0,50,90,30.4,27,38,30,52,72,80,49.5,"F"
"213",77.5,100,92.5,65,90,78,97,95,80,12,70.8333333333333,55.5555555555556,85,90,40.8,65.7,51,73,89,82,100,77.45,"C"
"214",90,77.5,100,90,100,83,100,100,100,12,50,50,80,35,54.4,58.05,68,64.5,95,60,100,77.225,"C"
"215",85,100,100,95,100,96,88,90,85,12,91.6666666666667,100,70,85,68,73.35,85,81.5,94,92,100,89.375,"A-"
"216",100,100,100,90,94,98,97,85,91,12,83.3333333333333,77.7777777777778,55,80,70.4,65.7,88,73,96,80,100,86.65,"B+"
"217",75,85,92.5,55,51,68,76,80,80,12,66.6666666666667,50,50,85,68.8,63,86,70,76,67,100,77.55,"C+"
"218",88.5,0,0,100,85,99,90,85,79,12,91.6666666666667,88.8888888888889,65,95,68.8,69.3,86,77,78,92,100,83.65,"B"
"219",77.5,100,92.5,90,95,97,100,90,0,11,100,66.6666666666667,85,95,61.6,81.9,77,91,93,93,100,90,"A"
"220",72.5,100,100,95,100,83,88,60,85,12,91.6666666666667,72.2222222222222,75,90,71.2,74.7,89,83,90,86,100,88.45,"A-"
"221",55,92.5,92.5,97.5,75,77,100,85,85,12,41.6666666666667,77.7777777777778,52.5,95,60.8,70.65,76,78.5,88,75,100,82.475,"B"
"222",90,90,90,90,90,93,67,0,0,11,75,100,0,0,69.6,61.2,87,68,76,58,100,75.9,"C"
"223",67.5,67.5,95,77.5,100,87.5,70,90,85,7,33.3333333333333,0,25,45,68.8,62.1,86,69,84,34,20,66.75,"C-"
"224",73.5,80,100,100,90,89,94,90,0,12,66.6666666666667,77.7777777777778,75,85,63.2,60.75,79,67.5,90,79,100,81.525,"B-"
"225",92.5,100,100,30,100,100,100,85,75,12,91.6666666666667,27.7777777777778,0,100,63.6,44.1,79.5,49,94,73,100,77.3,"C"
"226",65,50,72.5,90,80,0,0,62.5,0,8,83.3333333333333,72.2222222222222,50,0,65.6,63.45,82,70.5,52,69,40,63.975,"C-"
